file,rows,cols
basic_sanity.csv,1,10
constant_columns.csv,2,2
referential_integrity.csv,1,8
train_test_marginal_shift.csv,745,7
train_test_drift.csv,1,9
bil_per_crm_config_distribution.csv,9,2
crm_bil_relationship_summary.csv,1,19
validation_design.csv,1,8
within_config_variation_by_column.csv,731,3
within_config_difference_patterns.csv,25,3
within_config_variation_lift.csv,407,5
within_config_variation_null_test.csv,731,6
onehot_groups.csv,6,7
taxonomy_summary.csv,1,8
pack_activation_rates.csv,1447,3
paired_top_prevalence.csv,15,6
pack_count_stats.csv,8,8
pack_count_outliers.csv,24253,5
pack_count_bands.csv,4,7
label_imbalance.csv,10,3
rare_label_row_coverage.csv,3,5
crm_bil_channels.csv,717,6
association_thresholds.csv,5,4
bil_predictability.csv,717,4
exact_duplicate_columns.csv,1,3
near_duplicate_bil_pairs.csv,15,4
near_duplicate_crm_pairs.csv,15,7
pca_variance_concentration.csv,5,4
pca_component_vs_pack_count.csv,6,2
coclustering_quality.csv,5,6
pack_community_quality.csv,3,5
pack_communities.csv,116,3
customer_cluster_silhouette.csv,5,3
customer_segments.csv,8,5
bil_top_configs.csv,15,3
config_coverage_summary.csv,4,4
segment_pack_averages.csv,4,6
additivity_by_pack.csv,538,8
additivity_summary.csv,4,10
correlation_clusters.csv,4,4
relabel_summary.csv,1,5
typo_audit.csv,6,3
