crm_column,n_pairs,n_distinct_deltas,modal_share,n_bil_added,n_bil_removed,modal_delta_added,modal_delta_removed
CRM_1575_PACK,1462,22,0.980164,1,0,BIL_3771_PACK,
CRM_1527_PACK,1293,18,0.976025,1,0,BIL_3929_PACK,
CRM_1594_PACK,724,8,0.987569,1,0,BIL_4036_PACK,
CRM_1553_PACK,684,10,0.966374,1,0,BIL_3762_PACK,
CRM_1547_PACK,671,11,0.980626,1,0,BIL_3943_PACK,
CRM_1606_PACK,535,5,0.990654,1,0,BIL_3942_PACK,
CRM_2089_PACK,521,10,0.975048,1,0,BIL_3740_PACK,
CRM_1557_PACK,447,5,0.991051,1,0,BIL_4025_PACK,
CRM_1552_PACK,419,2,0.997613,1,0,BIL_4102_PACK,
CRM_2079_PACK,379,5,0.986807,1,0,BIL_3737_PACK,
CRM_2091_PACK,372,9,0.962366,1,0,BIL_3739_PACK,
CRM_2092_PACK,362,5,0.986188,1,0,BIL_3751_PACK,
CRM_2082_PACK,339,6,0.976401,1,0,BIL_3775_PACK,
CRM_1578_PACK,329,7,0.966565,1,0,BIL_3998_PACK,
CRM_1590_PACK,327,5,0.987768,1,0,BIL_4105_PACK,
CRM_2078_PACK,311,5,0.961415,1,0,BIL_3746_PACK,
CRM_1588_PACK,308,4,0.99026,1,0,BIL_3975_PACK,
CRM_1603_PACK,301,5,0.986711,1,0,BIL_3989_PACK,
CRM_1625_PACK,289,5,0.982699,1,0,BIL_3884_PACK,
CRM_1525_PACK,289,8,0.972318,1,0,BIL_3981_PACK,
CRM_1608_PACK,286,6,0.982517,1,0,BIL_4004_PACK,
CRM_2081_PACK,285,9,0.957895,1,0,BIL_3760_PACK,
CRM_2093_PACK,266,5,0.977444,1,0,BIL_3742_PACK,
CRM_1573_PACK,265,2,0.996226,1,0,BIL_4103_PACK,
CRM_1564_PACK,245,4,0.987755,1,0,BIL_3928_PACK,
CRM_1664_PACK,243,4,0.983539,1,0,BIL_3930_PACK,
CRM_1598_PACK,229,5,0.978166,1,0,BIL_3952_PACK,
CRM_1683_PACK,209,3,0.990431,1,0,BIL_3963_PACK,
CRM_1593_PACK,205,4,0.985366,1,0,BIL_4150_PACK,
CRM_1619_PACK,204,2,0.995098,1,0,BIL_4048_PACK,
CRM_1653_PACK,199,6,0.969849,1,0,BIL_4076_PACK,
CRM_1555_PACK,198,6,0.959596,1,0,BIL_3965_PACK,
CRM_1616_PACK,196,2,0.994898,1,0,BIL_4064_PACK,
CRM_1648_PACK,185,7,0.92973,1,0,BIL_4075_PACK,
CRM_1596_PACK,180,4,0.95,1,0,BIL_3960_PACK,
CRM_1586_PACK,177,6,0.926554,1,0,BIL_3964_PACK,
CRM_1584_PACK,173,6,0.971098,1,0,BIL_4012_PACK,
CRM_2130_PACK,168,6,0.970238,1,0,BIL_3752_PACK,
CRM_1715_PACK,166,2,0.993976,1,0,BIL_4078_PACK,
CRM_1585_PACK,157,3,0.987261,1,0,BIL_3988_PACK,
CRM_2113_PACK,152,2,0.993421,1,0,BIL_3794_PACK,
CRM_2140_PACK,151,3,0.980132,1,0,BIL_3831_PACK,
CRM_2134_PACK,148,3,0.986486,1,0,BIL_3767_PACK,
CRM_1532_PACK,147,4,0.979592,1,0,BIL_3922_PACK,
CRM_2102_PACK,145,5,0.972414,1,0,BIL_3785_PACK,
CRM_1583_PACK,144,7,0.923611,1,0,BIL_4107_PACK,
CRM_2146_PACK,136,3,0.977941,1,0,BIL_3776_PACK,
CRM_1640_PACK,120,1,1.0,1,0,BIL_4015_PACK,
CRM_1537_PACK,113,4,0.973451,1,0,BIL_3748_PACK,
CRM_1662_PACK,109,2,0.990826,1,0,BIL_4016_PACK,
CRM_1623_PACK,103,4,0.970874,1,0,BIL_3968_PACK,
CRM_1678_PACK,102,1,1.0,1,0,BIL_3925_PACK,
CRM_1543_PACK,98,5,0.959184,1,0,BIL_3971_PACK,
CRM_1708_PACK,97,3,0.979381,1,0,BIL_3980_PACK,
CRM_1635_PACK,96,2,0.989583,1,0,BIL_4005_PACK,
CRM_1643_PACK,94,2,0.989362,1,0,BIL_4184_PACK,
CRM_2126_PACK,92,4,0.956522,1,0,BIL_3772_PACK,
CRM_2139_PACK,87,5,0.931034,1,0,BIL_3805_PACK,
CRM_1646_PACK,86,3,0.965116,1,0,BIL_4006_PACK,
CRM_2154_PACK,86,3,0.976744,1,0,BIL_3804_PACK,
CRM_1579_PACK,85,1,1.0,1,0,BIL_4171_PACK,
CRM_2118_PACK,84,1,1.0,1,0,BIL_3815_PACK,
CRM_2115_PACK,84,2,0.988095,1,0,BIL_3841_PACK,
CRM_1595_PACK,83,4,0.951807,1,0,BIL_3961_PACK,
CRM_2085_PACK,81,4,0.950617,1,0,BIL_3765_PACK,
CRM_1661_PACK,80,2,0.9875,0,0,,
CRM_1690_PACK,80,3,0.975,1,0,BIL_4039_PACK,
CRM_2077_PACK,80,2,0.9875,1,0,BIL_3750_PACK,
CRM_2135_PACK,77,2,0.987013,1,0,BIL_3799_PACK,
CRM_1629_PACK,75,3,0.96,1,0,BIL_4079_PACK,
CRM_2083_PACK,74,4,0.959459,1,0,BIL_3821_PACK,
CRM_1554_PACK,67,6,0.910448,1,0,BIL_3931_PACK,
CRM_1639_PACK,65,4,0.938462,1,0,BIL_4052_PACK,
CRM_1612_PACK,64,3,0.96875,1,0,BIL_4013_PACK,
CRM_1626_PACK,61,2,0.983607,1,0,BIL_4009_PACK,
CRM_1587_PACK,59,6,0.762712,1,0,BIL_4106_PACK,
CRM_1558_PACK,59,5,0.932203,1,0,BIL_4019_PACK,
CRM_1709_PACK,54,4,0.944444,1,0,BIL_3974_PACK,
CRM_2088_PACK,52,1,1.0,1,0,BIL_3744_PACK,
CRM_1571_PACK,51,2,0.980392,1,0,BIL_4097_PACK,
CRM_1658_PACK,48,4,0.9375,1,0,BIL_4056_PACK,
CRM_1680_PACK,47,4,0.93617,1,0,BIL_3992_PACK,
CRM_1665_PACK,46,3,0.956522,1,0,BIL_4082_PACK,
CRM_1577_PACK,45,3,0.955556,1,0,BIL_3983_PACK,
CRM_1559_PACK,45,3,0.955556,1,0,BIL_3932_PACK,
CRM_1528_PACK,44,3,0.954545,1,0,BIL_3944_PACK,
CRM_1704_PACK,42,4,0.928571,1,0,BIL_4014_PACK,
CRM_1565_PACK,42,3,0.952381,1,0,BIL_3949_PACK,
CRM_2110_PACK,41,2,0.97561,1,0,BIL_3829_PACK,
CRM_2112_PACK,40,4,0.9,1,0,BIL_3797_PACK,
CRM_1682_PACK,40,2,0.975,1,0,BIL_3972_PACK,
CRM_1702_PACK,40,1,1.0,1,0,BIL_4072_PACK,
CRM_1530_PACK,40,4,0.925,1,0,BIL_3956_PACK,
CRM_2100_PACK,39,4,0.923077,1,0,BIL_3741_PACK,
CRM_1676_PACK,39,2,0.974359,1,0,BIL_4084_PACK,
CRM_1569_PACK,38,4,0.526316,1,0,BIL_3940_PACK,
CRM_1563_PACK,36,2,0.861111,1,0,BIL_3997_PACK,
CRM_2090_PACK,34,4,0.911765,1,0,BIL_3764_PACK,
CRM_1726_PACK,34,2,0.970588,1,0,BIL_4077_PACK,
CRM_2149_PACK,34,4,0.911765,1,0,BIL_3817_PACK,
CRM_1674_PACK,33,2,0.969697,1,0,BIL_4100_PACK,
CRM_2099_PACK,32,4,0.90625,1,0,BIL_3796_PACK,
CRM_2147_PACK,32,1,1.0,1,0,BIL_3820_PACK,
CRM_1655_PACK,31,2,0.967742,1,0,BIL_4022_PACK,
CRM_2097_PACK,31,3,0.935484,1,0,BIL_3822_PACK,
CRM_1701_PACK,29,2,0.965517,1,0,BIL_4033_PACK,
CRM_2157_PACK,28,3,0.928571,1,0,BIL_3851_PACK,
CRM_1842_PACK,27,1,1.0,1,0,BIL_4058_PACK,
CRM_2098_PACK,27,4,0.888889,1,0,BIL_3823_PACK,
CRM_1592_PACK,27,2,0.962963,1,0,BIL_4042_PACK,
CRM_1777_PACK,26,1,1.0,1,0,BIL_4086_PACK,
CRM_1581_PACK,25,1,1.0,1,0,BIL_4063_PACK,
CRM_2152_PACK,25,2,0.96,1,0,BIL_3826_PACK,
CRM_1667_PACK,24,3,0.916667,1,0,BIL_4112_PACK,
CRM_1597_PACK,23,4,0.869565,1,0,BIL_4205_PACK,
CRM_2114_PACK,22,2,0.954545,1,0,BIL_3743_PACK,
CRM_1720_PACK,22,2,0.954545,1,0,BIL_3938_PACK,
CRM_1849_PACK,21,2,0.952381,1,0,BIL_4255_PACK,
CRM_1739_PACK,21,1,1.0,1,0,BIL_4236_PACK,
CRM_1607_PACK,20,1,1.0,1,0,BIL_4031_PACK,
CRM_2174_PACK,20,2,0.95,1,0,BIL_3816_PACK,
CRM_1692_PACK,19,2,0.947368,1,0,BIL_4043_PACK,
CRM_1738_PACK,19,2,0.947368,1,0,BIL_4207_PACK,
CRM_2117_PACK,19,4,0.842105,1,0,BIL_3773_PACK,
CRM_1785_PACK,19,1,1.0,1,0,BIL_3951_PACK,
CRM_1688_PACK,18,2,0.944444,1,0,BIL_3937_PACK,
CRM_2178_PACK,18,1,1.0,1,0,BIL_3850_PACK,
CRM_1816_PACK,18,1,1.0,1,0,BIL_4181_PACK,
CRM_2212_PACK,17,1,1.0,1,0,BIL_3872_PACK,
CRM_1657_PACK,17,4,0.823529,1,0,BIL_4008_PACK,
CRM_1567_PACK,17,3,0.882353,1,0,BIL_4041_PACK,
CRM_2094_PACK,17,4,0.823529,1,0,BIL_3786_PACK,
CRM_1650_PACK,17,2,0.941176,1,0,BIL_4023_PACK,
CRM_1740_PACK,17,2,0.941176,1,0,BIL_4152_PACK,
CRM_1845_PACK,15,2,0.933333,1,0,BIL_4114_PACK,
CRM_1647_PACK,15,4,0.6,1,0,BIL_3941_PACK,
CRM_1827_PACK,15,1,1.0,1,0,BIL_4123_PACK,
CRM_1865_PACK,14,3,0.857143,1,0,BIL_4124_PACK,
CRM_1798_PACK,14,1,1.0,1,0,BIL_4144_PACK,
CRM_1637_PACK,14,1,1.0,1,0,BIL_4109_PACK,
CRM_1775_PACK,14,2,0.928571,1,0,BIL_4166_PACK,
CRM_1758_PACK,14,1,1.0,1,0,BIL_4070_PACK,
CRM_1541_PACK,14,1,1.0,1,0,BIL_3927_PACK,
CRM_1730_PACK,14,3,0.857143,1,0,BIL_3947_PACK,
CRM_2076_PACK,13,1,1.0,1,0,BIL_3749_PACK,
CRM_2107_PACK,13,2,0.923077,1,0,BIL_3769_PACK,
CRM_1765_PACK,13,3,0.846154,1,0,BIL_4093_PACK,
CRM_2179_PACK,13,1,1.0,1,0,BIL_3834_PACK,
CRM_2141_PACK,12,1,1.0,1,0,BIL_3824_PACK,
CRM_2160_PACK,12,1,1.0,1,0,BIL_3846_PACK,
CRM_2127_PACK,11,1,1.0,1,0,BIL_3833_PACK,
CRM_1820_PACK,11,2,0.909091,1,0,BIL_4156_PACK,
CRM_1769_PACK,11,1,1.0,1,0,BIL_4177_PACK,
CRM_1858_PACK,10,3,0.8,1,0,BIL_4080_PACK,
CRM_1621_PACK,10,1,1.0,1,0,BIL_4137_PACK,
CRM_2186_PACK,10,2,0.9,1,0,BIL_3858_PACK,
CRM_1773_PACK,10,1,1.0,1,0,BIL_3982_PACK,
CRM_2122_PACK,9,1,1.0,1,0,BIL_3849_PACK,
CRM_1700_PACK,9,1,1.0,1,0,BIL_3912_PACK,
CRM_1794_PACK,9,1,1.0,1,0,BIL_4208_PACK,
CRM_2119_PACK,9,2,0.888889,1,0,BIL_3832_PACK,
CRM_1795_PACK,9,4,0.666667,1,0,BIL_4248_PACK,
CRM_1717_PACK,8,6,0.375,1,0,BIL_4090_PACK,
CRM_2150_PACK,8,2,0.875,1,0,BIL_3863_PACK,
CRM_2197_PACK,7,1,1.0,1,0,BIL_3855_PACK,
CRM_1812_PACK,7,1,1.0,1,0,BIL_4011_PACK,
CRM_1651_PACK,7,2,0.857143,1,0,BIL_4201_PACK,
CRM_2159_PACK,7,3,0.714286,1,0,BIL_3854_PACK,
CRM_1742_PACK,7,2,0.857143,1,0,BIL_3999_PACK,
