bil_pack,best_jaccard,best_conf_fwd,best_conf_rev
BIL_3737_PACK,0.991415,0.995861,0.995517
BIL_3739_PACK,0.991944,0.995593,0.996318
BIL_3740_PACK,0.984988,0.99251,0.993355
BIL_3741_PACK,0.941863,0.968637,0.979789
BIL_3742_PACK,0.989738,0.994468,0.995218
BIL_3743_PACK,0.948705,0.974669,0.975991
BIL_3744_PACK,0.994163,0.996643,0.997503
BIL_3745_PACK,0.994238,0.996754,0.997468
BIL_3746_PACK,0.991017,0.99519,0.996496
BIL_3748_PACK,0.996333,0.998254,0.998071
BIL_3749_PACK,0.994052,0.996713,0.997321
BIL_3750_PACK,0.993639,0.996307,0.997312
BIL_3751_PACK,0.977905,0.989248,0.991638
BIL_3752_PACK,0.860393,0.922736,0.947994
BIL_3753_PACK,0.89756,0.947411,0.96549
BIL_3754_PACK,0.976345,0.988625,0.994156
BIL_3755_PACK,0.734028,0.849678,0.912211
BIL_3756_PACK,0.633841,0.785794,0.872294
BIL_3757_PACK,0.866934,0.931394,0.975357
BIL_3758_PACK,0.97998,0.989311,0.991355
BIL_3760_PACK,0.977472,0.98827,0.988946
BIL_3761_PACK,0.939456,0.966681,0.988611
BIL_3762_PACK,0.990637,0.993882,0.996715
BIL_3763_PACK,0.931198,0.9628,0.985759
BIL_3764_PACK,0.961354,0.979329,0.981265
BIL_3765_PACK,0.950596,0.974389,0.983925
BIL_3766_PACK,0.910015,0.950797,0.977726
BIL_3767_PACK,0.881702,0.938689,0.957857
BIL_3769_PACK,0.665008,0.79249,0.873494
BIL_3770_PACK,0.873447,0.931635,0.95845
BIL_3771_PACK,0.983473,0.991307,0.992029
BIL_3772_PACK,0.640034,0.783386,0.891441
BIL_3773_PACK,0.557054,0.716956,0.914894
BIL_3774_PACK,0.873487,0.930668,0.958239
BIL_3775_PACK,0.949157,0.972659,0.980476
BIL_3776_PACK,0.74626,0.855281,0.955479
BIL_3777_PACK,0.758923,0.862941,0.950765
BIL_3778_PACK,0.766921,0.866215,0.929412
BIL_3780_PACK,0.185259,0.307947,0.795222
BIL_3781_PACK,0.612154,0.756071,0.86971
BIL_3782_PACK,0.843914,0.916557,0.944809
BIL_3784_PACK,0.699422,0.818951,0.892308
BIL_3785_PACK,0.872876,0.929264,0.955476
BIL_3786_PACK,0.745784,0.860851,0.943892
BIL_3787_PACK,0.85564,0.920765,0.973375
BIL_3788_PACK,0.574735,0.741294,0.819059
BIL_3789_PACK,0.579556,0.728485,0.932349
BIL_3791_PACK,0.790196,0.876087,0.967991
BIL_3792_PACK,0.130261,0.225694,0.547101
BIL_3794_PACK,0.836322,0.916771,0.945912
BIL_3796_PACK,0.836262,0.904935,0.961885
BIL_3797_PACK,0.813442,0.895636,0.938125
BIL_3798_PACK,0.503695,0.655449,0.80737
BIL_3799_PACK,0.639037,0.784464,0.885405
BIL_3801_PACK,0.832922,0.912123,0.945861
BIL_3802_PACK,0.020408,0.04,0.724444
BIL_3803_PACK,0.046633,0.116592,0.903846
BIL_3804_PACK,0.652663,0.798898,0.89228
BIL_3805_PACK,0.60671,0.763189,0.84845
BIL_3815_PACK,0.697234,0.824441,0.890598
BIL_3817_PACK,0.422819,0.609284,0.823204
BIL_3820_PACK,0.475578,0.633562,0.902482
BIL_3821_PACK,0.836024,0.915161,0.971217
BIL_3822_PACK,0.684211,0.805603,0.895509
BIL_3824_PACK,0.819991,0.907489,0.936293
BIL_3829_PACK,0.45275,0.636905,0.863118
BIL_3831_PACK,0.746032,0.853304,0.917698
BIL_3833_PACK,0.537713,0.689548,0.81862
BIL_3839_PACK,0.850889,0.92124,0.946397
BIL_3841_PACK,0.67194,0.80139,0.881119
BIL_3884_PACK,0.914559,0.95389,0.978652
BIL_3920_PACK,0.948676,0.977394,0.985688
BIL_3921_PACK,0.995506,1.0,0.997794
BIL_3922_PACK,0.995397,1.0,0.997884
BIL_3923_PACK,0.877976,1.0,0.972381
BIL_3924_PACK,0.564398,0.712021,0.864315
BIL_3925_PACK,0.748907,0.861351,0.910511
BIL_3926_PACK,0.958102,0.979478,0.991596
BIL_3927_PACK,0.995702,1.0,0.997842
BIL_3928_PACK,0.965064,1.0,0.990319
BIL_3929_PACK,0.992022,1.0,0.997285
BIL_3930_PACK,0.851939,0.923175,0.960371
BIL_3931_PACK,0.920674,0.959633,0.976645
BIL_3932_PACK,0.835359,0.906113,0.96371
BIL_3933_PACK,0.995891,1.0,0.997952
BIL_3934_PACK,0.995973,1.0,0.998044
BIL_3935_PACK,0.994121,0.996867,0.997526
BIL_3936_PACK,0.462131,0.634921,0.825175
BIL_3939_PACK,0.705062,0.819966,0.921007
BIL_3940_PACK,0.178947,0.261092,0.907583
BIL_3941_PACK,0.466667,0.64076,0.822828
BIL_3942_PACK,0.981372,0.990485,0.994921
BIL_3943_PACK,0.948692,0.973921,0.988187
BIL_3944_PACK,0.966674,1.0,0.99071
BIL_3948_PACK,0.89441,0.941423,0.976059
BIL_3949_PACK,0.805052,0.887546,0.949575
BIL_3950_PACK,0.842234,0.908931,0.960374
BIL_3952_PACK,0.73504,0.931989,0.966961
BIL_3953_PACK,0.969136,0.982434,0.993416
BIL_3954_PACK,0.895452,0.951168,0.976166
BIL_3955_PACK,0.952884,0.975281,0.988951
BIL_3956_PACK,0.955304,0.97703,0.987034
BIL_3957_PACK,0.95225,0.975596,0.988388
BIL_3958_PACK,0.819433,0.89767,0.967801
BIL_3959_PACK,0.89132,0.944502,0.973275
BIL_3960_PACK,0.971306,0.986134,0.992168
BIL_3961_PACK,0.942031,0.972511,0.982592
BIL_3962_PACK,0.980817,0.991058,0.994513
BIL_3963_PACK,0.799448,0.884929,0.950719
BIL_3964_PACK,0.977809,0.98843,0.993984
BIL_3965_PACK,0.984512,0.991011,0.995551
BIL_3966_PACK,0.6405,0.792494,0.892819
BIL_3968_PACK,0.711852,0.831315,0.92381
BIL_3969_PACK,0.665852,0.798631,0.901077
BIL_3971_PACK,0.90425,0.947045,0.974273
BIL_3972_PACK,0.39,0.577167,0.784
BIL_3973_PACK,0.659432,0.796371,0.905622
BIL_3974_PACK,0.415603,0.61945,0.780952
BIL_3975_PACK,0.890718,0.944346,0.971796
BIL_3977_PACK,0.849913,1.0,0.96167
BIL_3979_PACK,0.718134,0.847944,0.914027
BIL_3980_PACK,0.61418,0.750281,0.931713
BIL_3981_PACK,0.880217,0.937915,0.969784
BIL_3983_PACK,0.853871,0.920815,0.965084
BIL_3985_PACK,0.803154,1.0,0.946712
BIL_3988_PACK,0.906886,0.950522,0.975227
BIL_3989_PACK,0.937887,0.968706,0.987218
BIL_3992_PACK,0.48301,0.671164,0.82194
BIL_3994_PACK,0.530481,0.695652,0.859331
BIL_3995_PACK,0.691208,0.822979,0.912678
BIL_3996_PACK,0.953565,0.975946,0.9882
BIL_3997_PACK,0.947325,0.974646,0.988744
BIL_3998_PACK,0.895173,0.941814,0.974454
BIL_4001_PACK,0.715328,0.837539,0.916538
BIL_4004_PACK,0.882787,0.940885,0.973098
