bil_pack,max_abs_corr_with_any_crm_pack
BIL_3737_PACK,0.99356955
BIL_3739_PACK,0.99567145
BIL_3740_PACK,0.9911027
BIL_3741_PACK,0.96822226
BIL_3742_PACK,0.99238193
BIL_3743_PACK,0.9785748
BIL_3744_PACK,0.9956911
BIL_3745_PACK,0.99526227
BIL_3746_PACK,0.9942891
BIL_3748_PACK,0.99362785
BIL_3749_PACK,0.99387175
BIL_3750_PACK,0.9943913
BIL_3751_PACK,0.98798347
BIL_3752_PACK,0.9251211
BIL_3753_PACK,0.9402874
BIL_3754_PACK,0.9864014
BIL_3755_PACK,0.81135947
BIL_3756_PACK,0.7869353
BIL_3757_PACK,0.90539026
BIL_3758_PACK,0.98869145
BIL_3760_PACK,0.9866424
BIL_3761_PACK,0.965425
BIL_3762_PACK,0.9942765
BIL_3763_PACK,0.96915686
BIL_3764_PACK,0.9795142
BIL_3765_PACK,0.97164476
BIL_3766_PACK,0.9538303
BIL_3767_PACK,0.9346496
BIL_3769_PACK,0.7843032
BIL_3770_PACK,0.9331196
BIL_3771_PACK,0.991768
BIL_3772_PACK,0.7665206
BIL_3773_PACK,0.7129119
BIL_3774_PACK,0.925353
BIL_3775_PACK,0.972843
BIL_3776_PACK,0.85000837
BIL_3777_PACK,0.8468694
BIL_3778_PACK,0.8669094
BIL_3780_PACK,0.3134288
BIL_3781_PACK,0.84093523
BIL_3782_PACK,0.92913234
BIL_3784_PACK,0.82304746
BIL_3785_PACK,0.9305808
BIL_3786_PACK,0.82466096
BIL_3787_PACK,0.9256427
BIL_3788_PACK,0.7185414
BIL_3789_PACK,0.7046746
BIL_3791_PACK,0.86310923
BIL_3792_PACK,0.2407399
BIL_3794_PACK,0.9194617
BIL_3796_PACK,0.9188808
BIL_3797_PACK,0.9019596
BIL_3798_PACK,0.6692592
BIL_3799_PACK,0.73819697
BIL_3801_PACK,0.91756165
BIL_3802_PACK,0.07997716
BIL_3803_PACK,0.121868536
BIL_3804_PACK,0.79352736
BIL_3805_PACK,0.774751
BIL_3815_PACK,0.8072437
BIL_3817_PACK,0.61145645
BIL_3820_PACK,0.7167279
BIL_3821_PACK,0.8883174
BIL_3822_PACK,0.7977415
BIL_3824_PACK,0.899441
BIL_3829_PACK,0.64645016
BIL_3831_PACK,0.84890306
BIL_3833_PACK,0.7037223
BIL_3839_PACK,0.9212316
BIL_3841_PACK,0.83096427
BIL_3884_PACK,0.95570594
BIL_3920_PACK,0.9762099
BIL_3921_PACK,0.9957233
BIL_3922_PACK,0.99532586
BIL_3923_PACK,0.9304729
BIL_3924_PACK,0.728054
BIL_3925_PACK,0.8512227
