rank,share,n_active_packs,config_hash
1,0.04333073697463749,4,2027643010
2,0.014553835319725568,14,2030193179
3,0.01402567194118714,14,2081401538
4,0.009165501861909285,13,916905676
5,0.007778406120293211,14,4165353265
6,0.007725056284077208,13,2879379923
7,0.00720756287278198,9,2181671272
8,0.006583369789054747,13,1736069650
9,0.006514015001973944,10,215944763
10,0.006273940739001931,13,1463424380
11,0.00492418988273706,12,991180515
12,0.0046894506033866475,11,3612737579
13,0.0043640166024690305,15,919851463
14,0.003878533092903405,14,3221336991
15,0.003771833420471399,15,576820260
16,0.0036704687316609936,14,3046856906
17,0.00359577896095859,12,4136705739
18,0.0034357294523105816,15,2077219418
19,0.0032490050255545716,15,1643324421
20,0.0032330000746897706,14,322375945
21,0.003184985222095368,13,4114203897
22,0.003014265746204159,15,81562620
23,0.002971585877231357,15,1713384389
24,0.002896896106528953,11,3511385706
25,0.002784861450475347,14,1967071052
26,0.002731511614259344,12,1145178028
27,0.0026088069909625377,13,897495215
28,0.002560792138368135,14,1585855747
29,0.0023633977443689247,12,531776533
30,0.002331387842639323,10,1544714820
