column,system,family,group,n_unique,constant,activation_rate,cluster_id,dropped_as_duplicate
CRM_BUSINESS_LINE_ORIG_Mobile,CRM,onehot,CRM_BUSINESS_LINE_ORIG,2,False,0.998725,,False
CRM_1519_PACK,CRM,pack,,2,False,0.006887,,False
CRM_1521_PACK,CRM,pack,,2,False,0.014522,,False
CRM_1522_PACK,CRM,pack,,2,False,0.014468,,False
CRM_1523_PACK,CRM,pack,,2,False,0.014383,,False
CRM_1524_PACK,CRM,pack,,2,False,0.048346,,False
CRM_1525_PACK,CRM,pack,,2,False,0.018475,,False
CRM_1526_PACK,CRM,pack,,2,False,0.014773,,False
CRM_1527_PACK,CRM,pack,,2,False,0.281132,,False
CRM_1528_PACK,CRM,pack,,2,False,0.070043,,False
CRM_1529_PACK,CRM,pack,,2,False,0.520033,0.0,False
CRM_1530_PACK,CRM,pack,,2,False,0.046916,,False
CRM_1532_PACK,CRM,pack,,2,False,0.514623,0.0,True
CRM_1533_PACK,CRM,pack,,2,False,0.520908,0.0,True
CRM_1534_PACK,CRM,pack,,2,False,0.011678,,False
CRM_1536_PACK,CRM,pack,,2,False,0.297569,1.0,False
CRM_1537_PACK,CRM,pack,,2,False,0.727409,,False
CRM_1538_PACK,CRM,pack,,2,False,0.388227,,False
CRM_1539_PACK,CRM,pack,,2,False,0.297644,1.0,True
CRM_1540_PACK,CRM,pack,,2,False,0.04921,,False
CRM_1541_PACK,CRM,pack,,2,False,0.519009,0.0,True
CRM_1542_PACK,CRM,pack,,2,False,0.520918,0.0,True
CRM_1543_PACK,CRM,pack,,2,False,0.020854,,False
CRM_1545_PACK,CRM,pack,,2,False,0.020321,,False
CRM_1546_PACK,CRM,pack,,2,False,0.003745,,False
CRM_1547_PACK,CRM,pack,,2,False,0.041528,,False
CRM_1548_PACK,CRM,pack,,2,False,0.004412,,False
CRM_1549_PACK,CRM,pack,,2,False,0.045689,2.0,False
CRM_1550_PACK,CRM,pack,,2,False,0.003692,,False
CRM_1551_PACK,CRM,pack,,2,False,0.003772,,False
CRM_1552_PACK,CRM,pack,,2,False,0.029759,,False
CRM_1553_PACK,CRM,pack,,2,False,0.345312,,False
CRM_1554_PACK,CRM,pack,,2,False,0.027358,,False
CRM_1555_PACK,CRM,pack,,2,False,0.143042,,False
CRM_1556_PACK,CRM,pack,,2,False,0.10679,,False
CRM_1557_PACK,CRM,pack,,2,False,0.034235,,False
CRM_1558_PACK,CRM,pack,,2,False,0.033552,,False
CRM_1559_PACK,CRM,pack,,2,False,0.013353,,False
CRM_1560_PACK,CRM,pack,,2,False,0.006877,,False
CRM_1562_PACK,CRM,pack,,2,False,0.002716,,False
CRM_1563_PACK,CRM,pack,,2,False,0.044398,2.0,True
CRM_1564_PACK,CRM,pack,,2,False,0.067856,,False
CRM_1565_PACK,CRM,pack,,2,False,0.010152,,False
CRM_1566_PACK,CRM,pack,,2,False,0.020401,,False
CRM_1567_PACK,CRM,pack,,2,False,0.004391,,False
CRM_1568_PACK,CRM,pack,,2,False,0.006253,,False
CRM_1569_PACK,CRM,pack,,2,False,0.004956,,False
CRM_1570_PACK,CRM,pack,,2,False,0.070763,,False
CRM_1571_PACK,CRM,pack,,2,False,0.004652,,False
CRM_1573_PACK,CRM,pack,,2,False,0.02931,,False
CRM_1575_PACK,CRM,pack,,2,False,0.131945,,False
CRM_1576_PACK,CRM,pack,,2,False,0.005458,,False
CRM_1577_PACK,CRM,pack,,2,False,0.01361,,False
CRM_1578_PACK,CRM,pack,,2,False,0.020172,,False
CRM_1579_PACK,CRM,pack,,2,False,0.007293,,False
CRM_1581_PACK,CRM,pack,,2,False,0.004017,,False
CRM_1582_PACK,CRM,pack,,2,False,0.050693,,False
CRM_1583_PACK,CRM,pack,,2,False,0.076237,,False
CRM_1584_PACK,CRM,pack,,2,False,0.011961,,False
CRM_1585_PACK,CRM,pack,,2,False,0.023506,,False
CRM_1586_PACK,CRM,pack,,2,False,0.105595,,False
CRM_1587_PACK,CRM,pack,,2,False,0.008808,,False
CRM_1588_PACK,CRM,pack,,2,False,0.021089,,False
CRM_1589_PACK,CRM,pack,,2,False,0.041063,,False
CRM_1590_PACK,CRM,pack,,2,False,0.035264,,False
CRM_1591_PACK,CRM,pack,,2,False,0.012126,,False
CRM_1592_PACK,CRM,pack,,2,False,0.006263,,False
CRM_1593_PACK,CRM,pack,,2,False,0.018918,,False
CRM_1594_PACK,CRM,pack,,2,False,0.12622,,False
CRM_1595_PACK,CRM,pack,,2,False,0.040562,,False
CRM_1596_PACK,CRM,pack,,2,False,0.076184,,False
CRM_1598_PACK,CRM,pack,,2,False,0.01561,,False
CRM_1599_PACK,CRM,pack,,2,False,0.006567,,False
CRM_1601_PACK,CRM,pack,,2,False,0.006557,,False
CRM_1602_PACK,CRM,pack,,2,False,0.008333,,False
CRM_1603_PACK,CRM,pack,,2,False,0.037505,,False
CRM_1604_PACK,CRM,pack,,2,False,0.003142,,False
CRM_1605_PACK,CRM,pack,,2,False,0.003308,,False
CRM_1606_PACK,CRM,pack,,2,False,0.116628,,False
CRM_1608_PACK,CRM,pack,,2,False,0.01832,,False
CRM_1609_PACK,CRM,pack,,2,False,0.008579,,False
CRM_1612_PACK,CRM,pack,,2,False,0.00327,,False
CRM_1613_PACK,CRM,pack,,2,False,0.014218,,False
CRM_1614_PACK,CRM,pack,,2,False,0.00375,,False
CRM_1615_PACK,CRM,pack,,2,False,0.003809,,False
CRM_1616_PACK,CRM,pack,,2,False,0.01641,,False
CRM_1617_PACK,CRM,pack,,2,False,0.04898,,False
CRM_1619_PACK,CRM,pack,,2,False,0.011486,,False
CRM_1623_PACK,CRM,pack,,2,False,0.006167,,False
CRM_1625_PACK,CRM,pack,,2,False,0.024066,,False
CRM_1626_PACK,CRM,pack,,2,False,0.003249,,False
CRM_1627_PACK,CRM,pack,,2,False,0.004039,,False
CRM_1629_PACK,CRM,pack,,2,False,0.005031,,False
CRM_1630_PACK,CRM,pack,,2,False,0.008403,,False
CRM_1631_PACK,CRM,pack,,2,False,0.005292,,False
CRM_1635_PACK,CRM,pack,,2,False,0.005949,,False
CRM_1638_PACK,CRM,pack,,2,False,0.006269,,False
CRM_1639_PACK,CRM,pack,,2,False,0.004545,,False
CRM_1640_PACK,CRM,pack,,2,False,0.005815,,False
CRM_1641_PACK,CRM,pack,,2,False,0.016859,,False
CRM_1642_PACK,CRM,pack,,2,False,0.003804,,False
CRM_1643_PACK,CRM,pack,,2,False,0.007784,,False
CRM_1644_PACK,CRM,pack,,2,False,0.010713,,False
CRM_1645_PACK,CRM,pack,,2,False,0.003734,,False
CRM_1646_PACK,CRM,pack,,2,False,0.006519,,False
CRM_1647_PACK,CRM,pack,,2,False,0.003089,,False
CRM_1648_PACK,CRM,pack,,2,False,0.023938,,False
CRM_1653_PACK,CRM,pack,,2,False,0.028051,,False
CRM_1654_PACK,CRM,pack,,2,False,0.020476,,False
CRM_1658_PACK,CRM,pack,,2,False,0.004471,,False
CRM_1661_PACK,CRM,pack,,2,False,0.004882,,False
CRM_1662_PACK,CRM,pack,,2,False,0.006434,,False
CRM_1664_PACK,CRM,pack,,2,False,0.012569,,False
CRM_1665_PACK,CRM,pack,,2,False,0.004513,,False
CRM_1666_PACK,CRM,pack,,2,False,0.003025,,False
CRM_1668_PACK,CRM,pack,,2,False,0.004903,,False
CRM_1669_PACK,CRM,pack,,2,False,0.004876,,False
CRM_1670_PACK,CRM,pack,,2,False,0.005004,,False
CRM_1671_PACK,CRM,pack,,2,False,0.004833,,False
CRM_1675_PACK,CRM,pack,,2,False,0.009502,,False
CRM_1676_PACK,CRM,pack,,2,False,0.00549,,False
CRM_1678_PACK,CRM,pack,,2,False,0.007426,,False
CRM_1680_PACK,CRM,pack,,2,False,0.003164,,False
CRM_1683_PACK,CRM,pack,,2,False,0.010478,,False
CRM_1689_PACK,CRM,pack,,2,False,0.006765,,False
CRM_1690_PACK,CRM,pack,,2,False,0.004375,,False
CRM_1692_PACK,CRM,pack,,2,False,0.002283,,False
CRM_1702_PACK,CRM,pack,,2,False,0.002956,,False
CRM_1704_PACK,CRM,pack,,2,False,0.003201,,False
CRM_1705_PACK,CRM,pack,,2,False,0.003745,,False
CRM_1708_PACK,CRM,pack,,2,False,0.004743,,False
CRM_1709_PACK,CRM,pack,,2,False,0.002523,,False
CRM_1710_PACK,CRM,pack,,2,False,0.005426,,False
CRM_1715_PACK,CRM,pack,,2,False,0.015861,,False
CRM_2076_PACK,CRM,pack,,2,False,0.428463,3.0,False
CRM_2077_PACK,CRM,pack,,2,False,0.423219,3.0,True
CRM_2078_PACK,CRM,pack,,2,False,0.240698,,False
CRM_2079_PACK,CRM,pack,,2,False,0.27839,,False
CRM_2080_PACK,CRM,pack,,2,False,0.114297,,False
CRM_2081_PACK,CRM,pack,,2,False,0.093693,,False
CRM_2082_PACK,CRM,pack,,2,False,0.041367,,False
