bil_pack,best_crm_pack,jaccard,conf_fwd_P_bil_given_crm,conf_rev_P_crm_given_bil,bil_prevalence
BIL_3748_PACK,CRM_1537_PACK,0.996333,0.998254,0.998071,0.727542
BIL_3934_PACK,CRM_1533_PACK,0.995973,0.997921,0.998044,0.520844
BIL_3933_PACK,CRM_1533_PACK,0.995891,0.997931,0.997952,0.520897
BIL_3927_PACK,CRM_1541_PACK,0.995702,0.997893,0.9978,0.519057
BIL_3921_PACK,CRM_1529_PACK,0.995506,0.997733,0.997763,0.520017
BIL_3922_PACK,CRM_1532_PACK,0.995397,0.997502,0.997884,0.514426
BIL_3745_PACK,CRM_2087_PACK,0.994238,0.996754,0.997468,0.417116
BIL_3744_PACK,CRM_2088_PACK,0.994163,0.996643,0.997503,0.401751
BIL_3935_PACK,CRM_1538_PACK,0.994121,0.996867,0.997237,0.388083
BIL_3749_PACK,CRM_2076_PACK,0.994052,0.996713,0.997321,0.428202
BIL_3750_PACK,CRM_2077_PACK,0.993639,0.996307,0.997312,0.422792
BIL_3929_PACK,CRM_1527_PACK,0.992022,0.995768,0.996222,0.281004
BIL_3739_PACK,CRM_2091_PACK,0.991944,0.995593,0.996318,0.278225
BIL_3737_PACK,CRM_2079_PACK,0.991415,0.995861,0.995517,0.278486
BIL_3746_PACK,CRM_2078_PACK,0.991017,0.99519,0.995786,0.240554
BIL_3762_PACK,CRM_1553_PACK,0.990637,0.993882,0.996715,0.344331
BIL_3742_PACK,CRM_2093_PACK,0.989738,0.994468,0.995218,0.247661
BIL_3740_PACK,CRM_2089_PACK,0.984988,0.99251,0.992364,0.145325
BIL_3965_PACK,CRM_1555_PACK,0.984512,0.991011,0.993383,0.1427
BIL_3771_PACK,CRM_1575_PACK,0.983473,0.991307,0.992029,0.131849
BIL_4036_PACK,CRM_1594_PACK,0.982985,0.99142,0.99142,0.12622
BIL_3942_PACK,CRM_1606_PACK,0.981372,0.990485,0.990712,0.116601
BIL_3962_PACK,CRM_1556_PACK,0.980817,0.991058,0.989574,0.10695
BIL_3758_PACK,CRM_2080_PACK,0.97998,0.989311,0.990467,0.114163
BIL_3751_PACK,CRM_2092_PACK,0.977905,0.989248,0.98841,0.10081
BIL_3964_PACK,CRM_1586_PACK,0.977809,0.98843,0.98913,0.105521
BIL_3760_PACK,CRM_2081_PACK,0.977472,0.98827,0.988946,0.093629
BIL_3754_PACK,CRM_2104_PACK,0.976345,0.988625,0.987437,0.097673
BIL_3960_PACK,CRM_1596_PACK,0.971306,0.986134,0.984755,0.07629
BIL_4107_PACK,CRM_1583_PACK,0.970266,0.984185,0.985633,0.076125
BIL_3953_PACK,CRM_1570_PACK,0.969136,0.982434,0.986226,0.070491
BIL_3944_PACK,CRM_1528_PACK,0.966674,0.983167,0.982942,0.070059
BIL_3928_PACK,CRM_1564_PACK,0.965064,0.981681,0.982763,0.067781
BIL_3764_PACK,CRM_2090_PACK,0.961354,0.979329,0.981265,0.056668
BIL_3926_PACK,CRM_1582_PACK,0.958102,0.979478,0.977729,0.050784
BIL_3956_PACK,CRM_1530_PACK,0.955304,0.97703,0.977252,0.046905
BIL_3996_PACK,CRM_1549_PACK,0.953565,0.975946,0.976516,0.045662
BIL_3955_PACK,CRM_1524_PACK,0.952884,0.975281,0.976467,0.048287
BIL_3957_PACK,CRM_1540_PACK,0.95225,0.975065,0.976017,0.049162
BIL_3765_PACK,CRM_2085_PACK,0.950596,0.974389,0.974956,0.045801
BIL_4020_PACK,CRM_1617_PACK,0.950446,0.975602,0.973587,0.049082
BIL_3775_PACK,CRM_2082_PACK,0.949157,0.972659,0.975175,0.041261
BIL_3743_PACK,CRM_2114_PACK,0.948705,0.974669,0.972688,0.041997
BIL_3943_PACK,CRM_1547_PACK,0.948692,0.973921,0.973421,0.041549
BIL_3920_PACK,CRM_1589_PACK,0.948676,0.977394,0.969959,0.041378
BIL_3997_PACK,CRM_1563_PACK,0.947325,0.974646,0.971261,0.044552
BIL_4105_PACK,CRM_1590_PACK,0.942206,0.969289,0.971199,0.035195
BIL_3961_PACK,CRM_1595_PACK,0.942031,0.972511,0.967801,0.040759
BIL_3741_PACK,CRM_2100_PACK,0.941863,0.968637,0.97149,0.039858
BIL_4025_PACK,CRM_1557_PACK,0.939504,0.968054,0.969565,0.034181
BIL_3761_PACK,CRM_2095_PACK,0.939456,0.966681,0.970894,0.037942
BIL_3989_PACK,CRM_1603_PACK,0.937887,0.968706,0.967192,0.037564
BIL_4019_PACK,CRM_1558_PACK,0.93674,0.967721,0.966953,0.033578
BIL_3763_PACK,CRM_2101_PACK,0.931198,0.9628,0.965952,0.032591
BIL_4076_PACK,CRM_1653_PACK,0.927837,0.961012,0.964129,0.027961
BIL_4103_PACK,CRM_1573_PACK,0.924343,0.960684,0.960684,0.02931
BIL_3931_PACK,CRM_1554_PACK,0.920674,0.959633,0.957766,0.027411
BIL_3884_PACK,CRM_1625_PACK,0.914559,0.95389,0.95686,0.023991
BIL_3766_PACK,CRM_2106_PACK,0.910015,0.950797,0.954988,0.022994
BIL_4075_PACK,CRM_1648_PACK,0.908956,0.952307,0.952307,0.023938
BIL_3988_PACK,CRM_1585_PACK,0.906886,0.950522,0.951818,0.023474
BIL_4102_PACK,CRM_1552_PACK,0.906033,0.961097,0.940526,0.030409
BIL_3971_PACK,CRM_1543_PACK,0.90425,0.947045,0.952405,0.020737
BIL_4150_PACK,CRM_1593_PACK,0.897752,0.945854,0.946388,0.018907
BIL_3753_PACK,CRM_2121_PACK,0.89756,0.947411,0.944623,0.019942
BIL_3954_PACK,CRM_1545_PACK,0.895452,0.951168,0.938601,0.020593
BIL_3998_PACK,CRM_1578_PACK,0.895173,0.941814,0.947578,0.020049
BIL_3948_PACK,CRM_1566_PACK,0.89441,0.941423,0.947119,0.020278
BIL_3959_PACK,CRM_1654_PACK,0.89132,0.944502,0.940581,0.020561
BIL_3975_PACK,CRM_1588_PACK,0.890718,0.944346,0.940065,0.021185
BIL_4004_PACK,CRM_1608_PACK,0.882787,0.940885,0.934625,0.018443
BIL_3767_PACK,CRM_2134_PACK,0.881702,0.938689,0.935581,0.017723
BIL_3981_PACK,CRM_1525_PACK,0.880217,0.937915,0.934676,0.018539
BIL_3923_PACK,CRM_1641_PACK,0.877976,0.933544,0.936508,0.016805
BIL_3774_PACK,CRM_2086_PACK,0.873487,0.930668,0.934283,0.01648
BIL_3770_PACK,CRM_2084_PACK,0.873447,0.927585,0.937364,0.017205
BIL_3785_PACK,CRM_2102_PACK,0.872876,0.929264,0.935002,0.016416
BIL_4064_PACK,CRM_1616_PACK,0.871381,0.929454,0.933094,0.016346
BIL_4078_PACK,CRM_1715_PACK,0.870856,0.927682,0.934282,0.015749
BIL_4047_PACK,CRM_1522_PACK,0.868158,0.929941,0.928913,0.014484
BIL_4045_PACK,CRM_1522_PACK,0.867495,0.926991,0.931111,0.014404
BIL_3757_PACK,CRM_2123_PACK,0.866934,0.931394,0.926071,0.014938
BIL_4046_PACK,CRM_1523_PACK,0.863777,0.93138,0.922483,0.014522
BIL_4044_PACK,CRM_1523_PACK,0.863183,0.93138,0.921806,0.014532
BIL_3752_PACK,CRM_2130_PACK,0.860393,0.922736,0.927192,0.014362
BIL_3787_PACK,CRM_2111_PACK,0.85564,0.920765,0.923649,0.013626
BIL_3983_PACK,CRM_1577_PACK,0.853871,0.920815,0.921538,0.013599
BIL_3930_PACK,CRM_1664_PACK,0.851939,0.923175,0.916948,0.012655
BIL_3839_PACK,CRM_2143_PACK,0.850889,0.92124,0.917643,0.015029
BIL_3977_PACK,CRM_1613_PACK,0.849913,0.913696,0.924099,0.014058
BIL_3782_PACK,CRM_2132_PACK,0.843914,0.916557,0.914148,0.01218
BIL_3950_PACK,CRM_1591_PACK,0.842234,0.908931,0.919858,0.011982
BIL_3794_PACK,CRM_2113_PACK,0.836322,0.916771,0.905037,0.012921
BIL_3796_PACK,CRM_2099_PACK,0.836262,0.904935,0.916803,0.013017
BIL_3821_PACK,CRM_2083_PACK,0.836024,0.915161,0.906262,0.013716
BIL_3932_PACK,CRM_1559_PACK,0.835359,0.906113,0.914516,0.013231
BIL_3801_PACK,CRM_2148_PACK,0.832922,0.912123,0.905593,0.011924
BIL_4012_PACK,CRM_1584_PACK,0.830946,0.905442,0.909906,0.011902
BIL_4048_PACK,CRM_1619_PACK,0.827119,0.906642,0.904122,0.011518
BIL_4024_PACK,CRM_1644_PACK,0.822647,0.900896,0.9045,0.01067
BIL_3824_PACK,CRM_2141_PACK,0.819991,0.907489,0.894788,0.011054
BIL_3958_PACK,CRM_1534_PACK,0.819433,0.89767,0.903864,0.011598
BIL_3797_PACK,CRM_2112_PACK,0.813442,0.895636,0.89862,0.011209
BIL_3949_PACK,CRM_1565_PACK,0.805052,0.887546,0.896497,0.010051
BIL_3985_PACK,CRM_1675_PACK,0.803154,0.886581,0.895125,0.009411
BIL_3963_PACK,CRM_1683_PACK,0.799448,0.884929,0.892197,0.010393
BIL_3791_PACK,CRM_2155_PACK,0.790196,0.876087,0.889625,0.009667
BIL_4106_PACK,CRM_1587_PACK,0.786982,0.88613,0.875524,0.008915
BIL_4067_PACK,CRM_1609_PACK,0.769231,0.870647,0.868486,0.0086
BIL_3778_PACK,CRM_2128_PACK,0.766921,0.866215,0.869969,0.008616
BIL_3777_PACK,CRM_2103_PACK,0.758923,0.862941,0.862941,0.008018
BIL_4021_PACK,CRM_1602_PACK,0.754918,0.859795,0.860897,0.008323
BIL_3925_PACK,CRM_1678_PACK,0.748907,0.861351,0.851562,0.007512
BIL_4040_PACK,CRM_1630_PACK,0.74748,0.847619,0.863519,0.008248
BIL_3776_PACK,CRM_2146_PACK,0.74626,0.855281,0.85411,0.007789
BIL_3831_PACK,CRM_2140_PACK,0.746032,0.853304,0.85579,0.007325
BIL_3786_PACK,CRM_2094_PACK,0.745784,0.860851,0.848011,0.007512
BIL_4184_PACK,CRM_1643_PACK,0.738095,0.849897,0.848734,0.007794
BIL_3952_PACK,CRM_1598_PACK,0.73504,0.931989,0.776702,0.018731
BIL_3755_PACK,CRM_2109_PACK,0.734028,0.849678,0.843575,0.006685
BIL_4171_PACK,CRM_1579_PACK,0.730793,0.855889,0.833333,0.00749
BIL_4006_PACK,CRM_1646_PACK,0.730633,0.841244,0.847486,0.006471
BIL_4016_PACK,CRM_1662_PACK,0.725377,0.83665,0.845059,0.00637
BIL_4111_PACK,CRM_1689_PACK,0.722752,0.836751,0.841396,0.006727
BIL_3979_PACK,CRM_1560_PACK,0.718134,0.847944,0.824284,0.007074
BIL_4001_PACK,CRM_1519_PACK,0.715328,0.835012,0.833076,0.006903
BIL_4066_PACK,CRM_1601_PACK,0.711983,0.826688,0.836903,0.006477
BIL_3968_PACK,CRM_1623_PACK,0.711852,0.831315,0.832035,0.006162
BIL_3939_PACK,CRM_1568_PACK,0.705062,0.819966,0.834201,0.006146
BIL_4065_PACK,CRM_1601_PACK,0.702853,0.821806,0.829228,0.006498
BIL_4042_PACK,CRM_1592_PACK,0.700799,0.821976,0.826199,0.006231
BIL_4005_PACK,CRM_1635_PACK,0.699848,0.826009,0.820856,0.005986
BIL_4015_PACK,CRM_1640_PACK,0.699843,0.819266,0.827618,0.005756
BIL_3784_PACK,CRM_2116_PACK,0.699422,0.818951,0.82735,0.006242
BIL_3815_PACK,CRM_2118_PACK,0.697234,0.824441,0.818803,0.006242
BIL_3995_PACK,CRM_1638_PACK,0.691208,0.822979,0.811923,0.006354
BIL_3822_PACK,CRM_2097_PACK,0.684211,0.805603,0.819516,0.006178
BIL_3841_PACK,CRM_2115_PACK,0.67194,0.80139,0.806194,0.00534
BIL_3969_PACK,CRM_1576_PACK,0.665852,0.798631,0.800196,0.005447
BIL_3769_PACK,CRM_2107_PACK,0.665008,0.79249,0.805221,0.005314
BIL_4089_PACK,CRM_1710_PACK,0.663606,0.781711,0.814549,0.005207
BIL_3973_PACK,CRM_1631_PACK,0.659432,0.796371,0.793173,0.005314
BIL_3804_PACK,CRM_2154_PACK,0.652663,0.798898,0.780969,0.005943
BIL_4084_PACK,CRM_1676_PACK,0.65154,0.781341,0.796829,0.005383
BIL_4079_PACK,CRM_1629_PACK,0.649693,0.78473,0.790598,0.004994
BIL_4068_PACK,CRM_1671_PACK,0.64589,0.789183,0.780568,0.004887
BIL_3966_PACK,CRM_1671_PACK,0.6405,0.792494,0.769561,0.004978
BIL_3772_PACK,CRM_2126_PACK,0.640034,0.783386,0.777662,0.005111
BIL_3799_PACK,CRM_2135_PACK,0.639037,0.784464,0.775135,0.004935
BIL_4051_PACK,CRM_1669_PACK,0.637333,0.784464,0.772629,0.004951
BIL_3756_PACK,CRM_2138_PACK,0.633841,0.785794,0.766234,0.00493
BIL_4097_PACK,CRM_1571_PACK,0.633737,0.779817,0.77185,0.0047
BIL_4050_PACK,CRM_1671_PACK,0.629859,0.786976,0.759318,0.00501
BIL_4041_PACK,CRM_1567_PACK,0.617126,0.761847,0.764634,0.004375
BIL_3980_PACK,CRM_1708_PACK,0.61418,0.750281,0.771991,0.004609
BIL_3809_PACK,CRM_2120_PACK,0.61309,0.753846,0.766546,0.004433
BIL_4039_PACK,CRM_1690_PACK,0.612488,0.753659,0.765799,0.004305
BIL_3781_PACK,CRM_2161_PACK,0.612154,0.756071,0.762806,0.004791
BIL_4056_PACK,CRM_1658_PACK,0.61181,0.754177,0.764208,0.004412
BIL_3805_PACK,CRM_2139_PACK,0.60671,0.763189,0.747417,0.004647
BIL_4052_PACK,CRM_1639_PACK,0.584416,0.739437,0.735981,0.004567
BIL_4082_PACK,CRM_1665_PACK,0.58413,0.722222,0.753391,0.004327
BIL_3789_PACK,CRM_2137_PACK,0.579556,0.728485,0.739237,0.004337
BIL_3788_PACK,CRM_2153_PACK,0.574735,0.741294,0.718938,0.004423
BIL_4055_PACK,CRM_1548_PACK,0.574144,0.730351,0.728589,0.004423
