col_a,col_b,corr,pair_type
CRM_1533_PACK,CRM_1542_PACK,0.99605465,crm-crm
CRM_1536_PACK,CRM_1539_PACK,0.9947066,crm-crm
CRM_1529_PACK,CRM_1542_PACK,0.9943886,crm-crm
CRM_1529_PACK,CRM_1533_PACK,0.99379116,crm-crm
CRM_1541_PACK,CRM_1542_PACK,0.9922588,crm-crm
CRM_1533_PACK,CRM_1541_PACK,0.99193,crm-crm
CRM_1529_PACK,CRM_1541_PACK,0.990523,crm-crm
CRM_1532_PACK,CRM_1542_PACK,0.982187,crm-crm
CRM_1532_PACK,CRM_1533_PACK,0.98144495,crm-crm
CRM_1529_PACK,CRM_1532_PACK,0.9805728,crm-crm
CRM_1532_PACK,CRM_1541_PACK,0.9776051,crm-crm
CRM_2076_PACK,CRM_2077_PACK,0.97618127,crm-crm
CRM_2076_PACK,CRM_2087_PACK,0.9668378,crm-crm
CRM_2087_PACK,CRM_2088_PACK,0.9635966,crm-crm
CRM_1549_PACK,CRM_1563_PACK,0.9635489,crm-crm
BIL_3933_PACK,BIL_3934_PACK,0.99645925,bil-bil
BIL_3921_PACK,BIL_3933_PACK,0.9948581,bil-bil
BIL_3921_PACK,BIL_3934_PACK,0.994788,bil-bil
BIL_3927_PACK,BIL_3933_PACK,0.99226075,bil-bil
BIL_3927_PACK,BIL_3934_PACK,0.9921937,bil-bil
BIL_3921_PACK,BIL_3927_PACK,0.9909819,bil-bil
BIL_3922_PACK,BIL_3933_PACK,0.9828028,bil-bil
BIL_3922_PACK,BIL_3934_PACK,0.98271817,bil-bil
BIL_3921_PACK,BIL_3922_PACK,0.9811098,bil-bil
BIL_3922_PACK,BIL_3927_PACK,0.9782086,bil-bil
BIL_3749_PACK,BIL_3750_PACK,0.976849,bil-bil
BIL_3996_PACK,BIL_3997_PACK,0.96750635,bil-bil
BIL_3745_PACK,BIL_3749_PACK,0.96605533,bil-bil
BIL_3744_PACK,BIL_3745_PACK,0.96229887,bil-bil
BIL_3745_PACK,BIL_3750_PACK,0.9588218,bil-bil
CRM_1542_PACK,BIL_3933_PACK,0.9967283,crm-bil
CRM_1542_PACK,BIL_3934_PACK,0.99639255,crm-bil
CRM_1533_PACK,BIL_3934_PACK,0.9963223,crm-bil
CRM_1533_PACK,BIL_3933_PACK,0.9958562,crm-bil
CRM_1529_PACK,BIL_3921_PACK,0.9957233,crm-bil
CRM_2088_PACK,BIL_3744_PACK,0.9956911,crm-bil
CRM_2091_PACK,BIL_3739_PACK,0.99567145,crm-bil
CRM_1532_PACK,BIL_3922_PACK,0.99532586,crm-bil
CRM_2087_PACK,BIL_3745_PACK,0.99526227,crm-bil
CRM_1541_PACK,BIL_3927_PACK,0.9952576,crm-bil
CRM_1542_PACK,BIL_3921_PACK,0.99465495,crm-bil
CRM_1538_PACK,BIL_3935_PACK,0.9946032,crm-bil
CRM_1529_PACK,BIL_3933_PACK,0.9944521,crm-bil
CRM_1527_PACK,BIL_3929_PACK,0.9944401,crm-bil
CRM_2077_PACK,BIL_3750_PACK,0.9943913,crm-bil
