col_a,col_b,jaccard,pct_rows_differing
BIL_3933_PACK,BIL_3934_PACK,0.995891,0.00214466
BIL_3921_PACK,BIL_3934_PACK,0.994001,0.00313164
BIL_3921_PACK,BIL_3933_PACK,0.99394,0.00316365
BIL_3927_PACK,BIL_3934_PACK,0.992202,0.00407059
BIL_3927_PACK,BIL_3933_PACK,0.992182,0.00408126
BIL_3921_PACK,BIL_3927_PACK,0.990679,0.00486551
BIL_3922_PACK,BIL_3934_PACK,0.98331,0.00871203
BIL_3922_PACK,BIL_3933_PACK,0.98327,0.00873337
BIL_3921_PACK,BIL_3922_PACK,0.981301,0.00976302
BIL_3922_PACK,BIL_3927_PACK,0.979542,0.01068064
BIL_3749_PACK,BIL_3750_PACK,0.972962,0.01166227
BIL_3745_PACK,BIL_3749_PACK,0.961548,0.01657046
BIL_3744_PACK,BIL_3745_PACK,0.957481,0.01778684
BIL_3745_PACK,BIL_3750_PACK,0.953469,0.02000619
BIL_3744_PACK,BIL_3750_PACK,0.931104,0.0294171
