col_a,col_b,jaccard,pct_rows_differing,best_bil_for_a,best_bil_for_b,drives_same_bil_pack
CRM_1533_PACK,CRM_1542_PACK,0.995993,0.00209131,BIL_3934_PACK,BIL_3933_PACK,False
CRM_1529_PACK,CRM_1533_PACK,0.994337,0.00295558,BIL_3921_PACK,BIL_3934_PACK,False
CRM_1529_PACK,CRM_1542_PACK,0.994195,0.00303027,BIL_3921_PACK,BIL_3933_PACK,False
CRM_1533_PACK,CRM_1541_PACK,0.99266,0.00383052,BIL_3934_PACK,BIL_3927_PACK,False
CRM_1541_PACK,CRM_1542_PACK,0.992436,0.00394789,BIL_3927_PACK,BIL_3933_PACK,False
CRM_1536_PACK,CRM_1539_PACK,0.992428,0.00226203,BIL_3922_PACK,BIL_3922_PACK,True
CRM_1529_PACK,CRM_1541_PACK,0.991269,0.00455608,BIL_3921_PACK,BIL_3927_PACK,False
CRM_1532_PACK,CRM_1533_PACK,0.983345,0.00869602,BIL_3922_PACK,BIL_3934_PACK,False
CRM_1532_PACK,CRM_1542_PACK,0.983264,0.0087387,BIL_3922_PACK,BIL_3933_PACK,False
CRM_1529_PACK,CRM_1532_PACK,0.981649,0.00958163,BIL_3921_PACK,BIL_3922_PACK,False
CRM_1532_PACK,CRM_1541_PACK,0.979768,0.01056327,BIL_3922_PACK,BIL_3927_PACK,False
CRM_2076_PACK,CRM_2077_PACK,0.97324,0.01155024,BIL_3749_PACK,BIL_3750_PACK,False
CRM_2076_PACK,CRM_2087_PACK,0.961901,0.01642641,BIL_3749_PACK,BIL_3745_PACK,False
CRM_2087_PACK,CRM_2088_PACK,0.957676,0.01771748,BIL_3745_PACK,BIL_3744_PACK,False
CRM_2077_PACK,CRM_2087_PACK,0.953872,0.01984614,BIL_3750_PACK,BIL_3745_PACK,False
