system,group,n_categories,pct_rows_sum_to_1,pct_rows_sum_to_0
CRM,CRM_BUSINESS_LINE_ORIG,1,0.998725,0.001275
CRM,CRM_SUBSCRIBER_TYPE_ORIG,3,0.99666,0.001072
CRM,CRM_SUBSCRIBER_STATUS_ORIG,6,0.824698,0.170954
CRM,CRM_SUBSCRIBER_STATUS_ORIG_Block_1,1,0.110178,0.889822
CRM,CRM_SUBSCRIBER_STATUS_ORIG_Block_2,1,0.060371,0.939629
CRM,CRM_SUBSCRIBER_STATUS_ORIG_Pre,3,0.005612,0.994345
BIL,BIL_BUSINESS_LINE_ORIG,1,0.998629,0.001371
BIL,BIL_SUBSCRIBER_STATUS_ORIG,5,0.827077,0.169098
BIL,BIL_SUBSCRIBER_STATUS_ORIG_Block_1,1,0.11093,0.88907
BIL,BIL_SUBSCRIBER_STATUS_ORIG_Block_2,1,0.05765,0.94235
BIL,BIL_SUBSCRIBER_STATUS_ORIG_Pre,3,0.005756,0.994206
BIL,BIL_SUBSCRIBER_TYPE_ORIG,3,0.996676,0.001328
