community,crm_pack,activation_rate
0,CRM_1527_PACK,0.2811323
0,CRM_1529_PACK,0.52003286
0,CRM_1532_PACK,0.51462319
0,CRM_1533_PACK,0.5209078
0,CRM_1536_PACK,0.29756938
0,CRM_1537_PACK,0.72740901
0,CRM_1538_PACK,0.38822676
0,CRM_1539_PACK,0.29764407
0,CRM_1541_PACK,0.51900855
0,CRM_1542_PACK,0.52091847
0,CRM_1553_PACK,0.34531215
0,CRM_1594_PACK,0.12622038
1,CRM_2076_PACK,0.4284632
1,CRM_2077_PACK,0.42321892
1,CRM_2078_PACK,0.24069846
1,CRM_2079_PACK,0.27839012
1,CRM_2080_PACK,0.11429669
1,CRM_2081_PACK,0.09369298
1,CRM_2087_PACK,0.41741445
1,CRM_2088_PACK,0.40209772
1,CRM_2089_PACK,0.14530361
1,CRM_2091_PACK,0.27842746
1,CRM_2093_PACK,0.24784733
2,CRM_1519_PACK,0.00688746
2,CRM_1576_PACK,0.00545769
2,CRM_1577_PACK,0.01360954
2,CRM_1613_PACK,0.01421773
2,CRM_1641_PACK,0.01685855
2,CRM_1675_PACK,0.00950161
2,CRM_1689_PACK,0.00676476
3,CRM_1610_PACK,0.00261414
3,CRM_1611_PACK,0.00261414
3,CRM_1633_PACK,0.00340905
3,CRM_1741_PACK,0.00260881
3,CRM_1745_PACK,0.00274218
3,CRM_1754_PACK,0.00261948
3,CRM_1755_PACK,0.00274218
4,CRM_1528_PACK,0.070043
4,CRM_1558_PACK,0.03355171
4,CRM_1564_PACK,0.06785566
4,CRM_1585_PACK,0.02350594
4,CRM_1595_PACK,0.04056188
4,CRM_1654_PACK,0.02047567
5,CRM_2085_PACK,0.04582751
5,CRM_2090_PACK,0.05678023
5,CRM_2100_PACK,0.03997503
5,CRM_2114_PACK,0.04191163
5,CRM_2121_PACK,0.01988348
5,CRM_2128_PACK,0.00865334
6,CRM_1560_PACK,0.00687679
6,CRM_1627_PACK,0.00403858
6,CRM_1642_PACK,0.00380384
6,CRM_1531_PACK,0.0027902
6,CRM_1561_PACK,0.00375583
6,CRM_1637_PACK,0.00316898
7,CRM_1551_PACK,0.00377183
7,CRM_1614_PACK,0.00375049
7,CRM_1615_PACK,0.00380918
7,CRM_1645_PACK,0.00373449
7,CRM_1705_PACK,0.00374516
8,CRM_1521_PACK,0.01452183
8,CRM_1522_PACK,0.01446848
8,CRM_1523_PACK,0.01438312
8,CRM_1526_PACK,0.01477257
9,CRM_1524_PACK,0.04834562
9,CRM_1530_PACK,0.04691585
9,CRM_1545_PACK,0.02032095
9,CRM_1559_PACK,0.01335346
10,CRM_1668_PACK,0.00490285
10,CRM_1669_PACK,0.00487618
10,CRM_1670_PACK,0.00500421
10,CRM_1671_PACK,0.0048335
11,CRM_2112_PACK,0.01124615
11,CRM_2132_PACK,0.01214776
11,CRM_2143_PACK,0.01496996
11,CRM_2148_PACK,0.01183833
12,CRM_1546_PACK,0.00374516
12,CRM_1548_PACK,0.00441203
12,CRM_1550_PACK,0.00369181
13,CRM_1540_PACK,0.04920989
13,CRM_1549_PACK,0.0456888
13,CRM_1563_PACK,0.04439773
14,CRM_1565_PACK,0.01015247
14,CRM_1566_PACK,0.02040098
15,CRM_1543_PACK,0.02085445
15,CRM_1589_PACK,0.04106337
16,CRM_1591_PACK,0.01212642
16,CRM_1592_PACK,0.00626327
17,CRM_1599_PACK,0.00656736
17,CRM_1601_PACK,0.00655669
18,CRM_1604_PACK,0.00314231
18,CRM_1605_PACK,0.00330769
19,CRM_1567_PACK,0.00439069
19,CRM_1630_PACK,0.0084026
20,CRM_2084_PACK,0.01738671
20,CRM_2086_PACK,0.01654378
21,CRM_2094_PACK,0.00739962
21,CRM_2111_PACK,0.01366823
22,CRM_2099_PACK,0.01318808
22,CRM_2106_PACK,0.02309514
23,CRM_2103_PACK,0.00801848
23,CRM_2155_PACK,0.00981637
24,CRM_2107_PACK,0.005399
24,CRM_2109_PACK,0.00663672
25,CRM_1618_PACK,0.00343039
25,CRM_1679_PACK,0.00245943
26,CRM_1620_PACK,0.00222469
26,CRM_1818_PACK,0.00250744
27,CRM_1686_PACK,0.0034464
27,CRM_1723_PACK,0.00363846
28,CRM_2119_PACK,0.00268883
28,CRM_2158_PACK,0.00345707
29,CRM_2122_PACK,0.00252345
29,CRM_2173_PACK,0.00338238
30,CRM_2166_PACK,0.00199528
30,CRM_2167_PACK,0.00211799
