MSISDN,n_crm_packs,n_bil_packs,crm_outlier,bil_outlier
a543952f2405c440fc40f85e8adfdfd6,22,14,True,False
3bd71759181041e39304827d67870716,24,16,True,False
b447a2ae3036f1f4d8a45077a8c2264a,15,26,False,True
b07244a41b129847a8ef6265f531685d,17,18,False,True
da98d61522e313f8339c88e8e19abeb3,31,17,True,False
c61e950c8f90e00adf39adc38246a54a,15,18,False,True
12fa5a2cc2a21ad9316409059d738a3b,16,19,False,True
9f6491de312f263078ba0cf53fe59b1c,20,19,True,True
350024ac579113900549ad1f2ee56191,21,16,True,False
8f81242264a1e0072c80d285eb02eb81,20,21,True,True
7c228e685845e83152a7f472acb0147a,25,20,True,True
2f81e30d07e26dcb6be180ec574be54f,20,19,True,True
0c09f43070527ea1f5ea92b64192c066,30,15,True,False
88023eecaa1ccfb13bf564a931ef8ab3,21,16,True,False
ea1f8ec336209989c0cea46b893c7190,21,13,True,False
67771038583a8094190afce93b490f84,15,22,False,True
b1b02cb1f48a254ad2b913fe5a6759ce,19,17,True,False
75d2ef804b096e751c7eeb45c94fe6be,21,23,True,True
10dd0aa5591511ee580356f5328955d4,19,20,True,True
ae5bfbac0fbf81957ff9ebcb89d62de6,19,14,True,False
f87dc00a7374ba7bd997fd9c6a2d6938,21,14,True,False
afafa4bc34e0c80585ef009137352af7,20,14,True,False
c5e6e3ab4f20b1c402104eab7a06f7d4,21,19,True,True
7dcf84322d7812ee96106b33317a7659,15,18,False,True
d79af85b2017314500a095486aef21fc,20,17,True,False
8386cf53cf9627a6db44337237b35826,19,23,True,True
d2f93b84a7379e0b421ea92036a46a22,17,25,False,True
e474f9c710737e423dac655b2319df07,31,23,True,True
e1e89d81d8aa9e0a285b88dc666c5a33,17,19,False,True
698ad94b5f83e3be2f14344f67a76a16,26,22,True,True
1d051711b2ca4c502410bacee0630d6c,18,23,False,True
6b5ad6723960abecab8fefc0464b8601,24,27,True,True
3618bc166f012090c0b9400f1e854eca,22,23,True,True
5265e0b26a076b472986fe5de7464a0a,29,19,True,True
e398958427c0b1eca0964aacede454de,19,12,True,False
46c447019f14fd83fcb49aa51c6490bc,27,24,True,True
fce16cacd2b6fef7a7d5e28efa034269,16,20,False,True
32653fc6b15c5db8d91fb3415f42e2a4,17,18,False,True
eed7258fd15372cc80a240408c26f755,25,28,True,True
bd1556165c14f0fd1de47e7884095c13,22,24,True,True
f0b17c8c083137b9cfa35d1843cce887,22,23,True,True
078e2ace4fe793e7c8865cd1dd798f0c,19,15,True,False
120611723f336442bfd794f06fe65915,18,19,False,True
012a51fde86d7dd5568324ac69b76666,25,18,True,True
c9753d11ccb1461c7ef265281f330c3f,21,24,True,True
e6c4252f815b4239b1d35734fed1191c,38,37,True,True
b5df2738f9a8c899fc85ad21d961b172,16,18,False,True
2c603ab4a8205cb6e21615c1950e49b8,18,23,False,True
edcbfdb1ea7d562246cd07529ca6dea7,18,18,False,True
bf41a62981236c9d87bc1bb2dceb2299,22,15,True,False
44bd5810447bcba045478a898d790da3,16,18,False,True
c57d041df65d3661a153b134540385b9,20,18,True,True
c71d87e64cbfbf257b6cc4b80d78bf5b,24,16,True,False
07dd3b97b48c8d70aab354d3f8b7758d,20,17,True,False
2e71569aed8a1880f9c05c113303c072,24,22,True,True
16bb0ac8771b838a58f472d5063ba0ef,28,30,True,True
a55122e15c32c6a32df2f2ae3e01c289,28,29,True,True
0e10997799a8224fd9091053261950c2,24,21,True,True
5a8d6e44fa03394dabf74bb1233ec942,18,21,False,True
b954ff3cc95d0ffb4aad2796949e38f6,19,25,True,True
9c04762d7b237b654f8bf4bbffe88ea4,27,32,True,True
9542e8bf0cfd4b3c70fc6d04c778d4fa,20,15,True,False
48506bb333382513afe27efc4e3eb917,18,21,False,True
77de1e73597ef17e04ba532a45282bcb,18,27,False,True
65b6959acb7db26274b395dcafed5469,42,22,True,True
5ec032f4e76531c70b5cbb6f754e71c9,24,24,True,True
1c8affa7093a2fd1d7139f7d4359bc0a,17,18,False,True
1a981bc77eef4e11968404f319682555,29,31,True,True
9b632aaded5d2f23cf10f16e3a4fb308,21,21,True,True
619ab48115db6778467f1087aae37296,20,20,True,True
251e19dae345a3f5fd13003efca01da2,28,18,True,True
684770a57dc376a6c2c253238bfcba9e,18,21,False,True
6d174657e52af8f71cd35d618d6a50c0,20,22,True,True
c7039f189079a18e768a874aabe0923b,17,20,False,True
534a913c79ddb7a04557fdd79ee002a1,20,25,True,True
de200b3e0cff7126de18452753212730,17,18,False,True
606ac6556a7811e5671f9d8e9732134c,21,18,True,True
e9325fe6fa95daf248605a6e9125269d,21,14,True,False
71432b7ebcfcff852f7d2d856818aeef,24,16,True,False
83da71056424bb08b4844cac742d98fc,19,19,True,True
6850e05c31985ac0d8ed936403f9c075,17,20,False,True
0bea7bcfd8ff4cb95b2d3037de9eac91,19,17,True,False
0d50879f099fc60f1a903a6b2ac0f91f,19,19,True,True
3ca8db62d360f7a6566f8e4e5e1c9367,19,19,True,True
f7ec93c456c7faa9b20f8c5b9e60a0d6,21,19,True,True
cc84051ced6a5457448aac3eaa77a094,22,20,True,True
1b711ef40d6f4a8edee4fa94fdfed8bf,23,26,True,True
3d083cc4c40e1cab745ab222fca457c1,23,21,True,True
42cd4ccbcb491c132f6cba3b0841803b,20,18,True,True
5490306be6bdac6372bccd1a69137bfd,22,20,True,True
4a8ab66cd2d93ae9a3983972041af780,20,22,True,True
b4de68e093df3012a68c251cf3e2447a,28,31,True,True
5e89c35a63c971b041cc95a1fc586ae4,24,19,True,True
9f805b4b10815746bbce7f74a90972c5,24,29,True,True
140841298145a339355be221187cadf9,21,19,True,True
cca81d5baabed027192068914673afa2,18,18,False,True
62c6d22ba106b5d854096ecdce76d479,19,17,True,False
5bf14e0da4f995063f1ddfb4d0346295,22,26,True,True
7f2227f0d11db86ee81de8d05ebededd,20,18,True,True
e17b623678209d208c8a8d520f976cdd,19,19,True,True
5e6d10597000ec9362c09ec7adaa98f5,23,21,True,True
67efd61c98aa7d5186bada3de90282e6,21,19,True,True
7d911611a9ee47e6442ed9cc782bf0e7,19,18,True,True
bc3d1189a8cfe1df09ab75fcc8652fa1,19,17,True,False
949142b33f26f500c1243de215ebcc0c,19,17,True,False
c2efae3e251931c7abc5cd4bb1375a0e,24,22,True,True
80e178ca62ab15fbf88f6d3a43c58715,19,17,True,False
68094a50576c94459dcdd42b03d58227,20,18,True,True
cd66a0561376dd24f39beca8381b08bd,20,21,True,True
f26c7835830ec1262da8798580914228,19,19,True,True
15bc2d9581d7e485d5d418b331956d6e,19,17,True,False
0ce3b129efb51fa33a62937aca033973,22,20,True,True
d13cb447e3972afbdde119c71417df47,22,20,True,True
e1a704e2b07ba18d73be37d57f64e511,20,18,True,True
af96ae6a8f51a7d04765b9463f367093,18,18,False,True
