rank,crm_pack,crm_rate,bil_pack,bil_rate,abs_diff
1,CRM_1537_PACK,0.72740901,BIL_3748_PACK,0.72754239,0.00013337
2,CRM_1542_PACK,0.52091847,BIL_3933_PACK,0.52089713,2.134e-05
3,CRM_1533_PACK,0.5209078,BIL_3934_PACK,0.52084378,6.402e-05
4,CRM_1529_PACK,0.52003286,BIL_3921_PACK,0.52001686,1.6e-05
5,CRM_1541_PACK,0.51900855,BIL_3927_PACK,0.51905656,4.801e-05
6,CRM_1532_PACK,0.51462319,BIL_3922_PACK,0.5144258,0.00019739
7,CRM_2076_PACK,0.4284632,BIL_3749_PACK,0.42820179,0.00026141
8,CRM_2077_PACK,0.42321892,BIL_3750_PACK,0.42279212,0.0004268
9,CRM_2087_PACK,0.41741445,BIL_3745_PACK,0.41711569,0.00029876
10,CRM_2088_PACK,0.40209772,BIL_3744_PACK,0.40175094,0.00034677
11,CRM_1538_PACK,0.38822676,BIL_3935_PACK,0.38808271,0.00014404
12,CRM_1553_PACK,0.34531215,BIL_3762_PACK,0.34433051,0.00098164
13,CRM_1539_PACK,0.29764407,BIL_3929_PACK,0.28100426,0.01663981
14,CRM_1536_PACK,0.29756938,BIL_3737_PACK,0.27848615,0.01908324
15,CRM_1527_PACK,0.2811323,BIL_3739_PACK,0.27822473,0.00290757
