crm_column,n_pairs,n_distinct_deltas,modal_share,n_bil_added,n_bil_removed,modal_delta_added,modal_delta_removed
CRM_1640_PACK,120,1,1.0,1,0,BIL_4015_PACK,
CRM_1678_PACK,102,1,1.0,1,0,BIL_3925_PACK,
CRM_1579_PACK,85,1,1.0,1,0,BIL_4171_PACK,
CRM_2118_PACK,84,1,1.0,1,0,BIL_3815_PACK,
CRM_2088_PACK,52,1,1.0,1,0,BIL_3744_PACK,
CRM_1702_PACK,40,1,1.0,1,0,BIL_4072_PACK,
CRM_2147_PACK,32,1,1.0,1,0,BIL_3820_PACK,
CRM_1842_PACK,27,1,1.0,1,0,BIL_4058_PACK,
CRM_1777_PACK,26,1,1.0,1,0,BIL_4086_PACK,
CRM_1581_PACK,25,1,1.0,1,0,BIL_4063_PACK,
CRM_1739_PACK,21,1,1.0,1,0,BIL_4236_PACK,
CRM_1607_PACK,20,1,1.0,1,0,BIL_4031_PACK,
CRM_1785_PACK,19,1,1.0,1,0,BIL_3951_PACK,
CRM_2178_PACK,18,1,1.0,1,0,BIL_3850_PACK,
CRM_1816_PACK,18,1,1.0,1,0,BIL_4181_PACK,
CRM_2212_PACK,17,1,1.0,1,0,BIL_3872_PACK,
CRM_1827_PACK,15,1,1.0,1,0,BIL_4123_PACK,
CRM_1758_PACK,14,1,1.0,1,0,BIL_4070_PACK,
CRM_1798_PACK,14,1,1.0,1,0,BIL_4144_PACK,
CRM_1637_PACK,14,1,1.0,1,0,BIL_4109_PACK,
CRM_1541_PACK,14,1,1.0,1,0,BIL_3927_PACK,
CRM_2076_PACK,13,1,1.0,1,0,BIL_3749_PACK,
CRM_2179_PACK,13,1,1.0,1,0,BIL_3834_PACK,
CRM_2141_PACK,12,1,1.0,1,0,BIL_3824_PACK,
CRM_2160_PACK,12,1,1.0,1,0,BIL_3846_PACK,
CRM_2127_PACK,11,1,1.0,1,0,BIL_3833_PACK,
CRM_1769_PACK,11,1,1.0,1,0,BIL_4177_PACK,
CRM_1773_PACK,10,1,1.0,1,0,BIL_3982_PACK,
CRM_1621_PACK,10,1,1.0,1,0,BIL_4137_PACK,
CRM_1700_PACK,9,1,1.0,1,0,BIL_3912_PACK,
CRM_2122_PACK,9,1,1.0,1,0,BIL_3849_PACK,
CRM_1794_PACK,9,1,1.0,1,0,BIL_4208_PACK,
CRM_2197_PACK,7,1,1.0,1,0,BIL_3855_PACK,
CRM_1812_PACK,7,1,1.0,1,0,BIL_4011_PACK,
CRM_1679_PACK,7,1,1.0,1,0,BIL_4131_PACK,
CRM_1734_PACK,6,1,1.0,1,0,BIL_4053_PACK,
CRM_1735_PACK,6,1,1.0,1,0,BIL_4095_PACK,
CRM_1624_PACK,5,1,1.0,1,0,BIL_4176_PACK,
CRM_1721_PACK,5,1,1.0,1,0,BIL_4110_PACK,
CRM_1620_PACK,5,1,1.0,1,0,BIL_4073_PACK,
CRM_2236_PACK,5,1,1.0,1,0,BIL_3907_PACK,
CRM_2108_PACK,5,1,1.0,1,0,BIL_3860_PACK,
