component,explained_variance_ratio,cumulative_variance_ratio
SVD_COMP_1,0.047629606,0.047629606
SVD_COMP_2,0.30501017,0.35263976
SVD_COMP_3,0.06402255,0.4166623
SVD_COMP_4,0.04378772,0.46045002
SVD_COMP_5,0.02821392,0.48866394
SVD_COMP_6,0.025221817,0.51388574
SVD_COMP_7,0.021346685,0.5352324
SVD_COMP_8,0.017843358,0.5530758
SVD_COMP_9,0.01604242,0.5691182
SVD_COMP_10,0.015321361,0.5844396
SVD_COMP_11,0.013936144,0.59837574
SVD_COMP_12,0.012893767,0.61126953
SVD_COMP_13,0.011931085,0.6232006
SVD_COMP_14,0.010858266,0.63405883
SVD_COMP_15,0.010359591,0.6444184
SVD_COMP_16,0.009896767,0.6543152
SVD_COMP_17,0.009482328,0.6637975
SVD_COMP_18,0.00837775,0.6721752
SVD_COMP_19,0.008218291,0.6803935
SVD_COMP_20,0.008024835,0.6884183
SVD_COMP_21,0.0074222595,0.6958406
SVD_COMP_22,0.0071495036,0.7029901
SVD_COMP_23,0.007003029,0.7099931
SVD_COMP_24,0.006217299,0.7162104
SVD_COMP_25,0.006011979,0.7222224
SVD_COMP_26,0.0057864315,0.7280088
SVD_COMP_27,0.005636898,0.7336457
SVD_COMP_28,0.0055436743,0.7391893
SVD_COMP_29,0.005376437,0.7445658
SVD_COMP_30,0.00501226,0.74957806
SVD_COMP_31,0.0046366574,0.7542147
SVD_COMP_32,0.0043770503,0.7585918
SVD_COMP_33,0.003979301,0.7625711
SVD_COMP_34,0.003853416,0.76642454
SVD_COMP_35,0.0037664394,0.77019095
SVD_COMP_36,0.0036989148,0.77388984
SVD_COMP_37,0.0035761197,0.77746594
SVD_COMP_38,0.0034412623,0.7809072
SVD_COMP_39,0.0033031395,0.7842103
SVD_COMP_40,0.0032775244,0.78748786
SVD_COMP_41,0.0030759387,0.7905638
SVD_COMP_42,0.0030495608,0.7936134
SVD_COMP_43,0.0029388524,0.79655224
SVD_COMP_44,0.0028976058,0.79944986
SVD_COMP_45,0.002771792,0.80222166
