col_a,col_b,corr,pair_type
CRM_1533_PACK,CRM_1542_PACK,0.9958099704578988,crm-crm
CRM_1536_PACK,CRM_1539_PACK,0.9945893819688512,crm-crm
CRM_1529_PACK,CRM_1533_PACK,0.9940803265159623,crm-crm
CRM_1529_PACK,CRM_1542_PACK,0.9939307518090637,crm-crm
CRM_1533_PACK,CRM_1541_PACK,0.9923339558613472,crm-crm
CRM_1541_PACK,CRM_1542_PACK,0.9920988952333565,crm-crm
CRM_1529_PACK,CRM_1541_PACK,0.990876038432755,crm-crm
CRM_1532_PACK,CRM_1533_PACK,0.9826644898591065,crm-crm
CRM_1532_PACK,CRM_1542_PACK,0.9825793031221869,crm-crm
CRM_1529_PACK,CRM_1532_PACK,0.9808717475430762,crm-crm
CRM_1532_PACK,CRM_1541_PACK,0.9788877913242721,crm-crm
CRM_2076_PACK,CRM_2077_PACK,0.9764368095748028,crm-crm
CRM_2076_PACK,CRM_2087_PACK,0.9665995758188877,crm-crm
CRM_2087_PACK,CRM_2088_PACK,0.9638638485560406,crm-crm
CRM_1549_PACK,CRM_1563_PACK,0.9595512977760285,crm-crm
CRM_2077_PACK,CRM_2087_PACK,0.9593428356001102,crm-crm
CRM_2077_PACK,CRM_2088_PACK,0.9403552706774008,crm-crm
CRM_1540_PACK,CRM_1549_PACK,0.937212102899382,crm-crm
CRM_2076_PACK,CRM_2088_PACK,0.9364582302356228,crm-crm
CRM_1521_PACK,CRM_1522_PACK,0.9275491971793166,crm-crm
CRM_1522_PACK,CRM_1523_PACK,0.9272085409392521,crm-crm
CRM_1521_PACK,CRM_1523_PACK,0.9254750090521644,crm-crm
CRM_1540_PACK,CRM_1563_PACK,0.9230263251523535,crm-crm
CRM_1523_PACK,CRM_1526_PACK,0.9193097353212487,crm-crm
CRM_1522_PACK,CRM_1526_PACK,0.9183977032806742,crm-crm
CRM_1521_PACK,CRM_1526_PACK,0.9177883214547511,crm-crm
CRM_2084_PACK,CRM_2086_PACK,0.9065620279522599,crm-crm
CRM_1524_PACK,CRM_1530_PACK,0.9049677045581737,crm-crm
CRM_2132_PACK,CRM_2148_PACK,0.8987728807205234,crm-crm
CRM_1533_PACK,CRM_2076_PACK,-0.8979302942480087,crm-crm
BIL_3933_PACK,BIL_3934_PACK,0.9957029833747707,bil-bil
BIL_3921_PACK,BIL_3934_PACK,0.9937275372722801,bil-bil
BIL_3921_PACK,BIL_3933_PACK,0.9936635684716467,bil-bil
BIL_3927_PACK,BIL_3934_PACK,0.9918521552844871,bil-bil
BIL_3927_PACK,BIL_3933_PACK,0.9918311699474913,bil-bil
BIL_3921_PACK,BIL_3927_PACK,0.9902560364800841,bil-bil
BIL_3922_PACK,BIL_3934_PACK,0.9826360376125669,bil-bil
BIL_3922_PACK,BIL_3933_PACK,0.9825946049514651,bil-bil
BIL_3921_PACK,BIL_3922_PACK,0.980512799271174,bil-bil
BIL_3922_PACK,BIL_3927_PACK,0.9786572840606115,bil-bil
BIL_3749_PACK,BIL_3750_PACK,0.9762062923511514,bil-bil
BIL_3745_PACK,BIL_3749_PACK,0.9663001884320941,bil-bil
BIL_3744_PACK,BIL_3745_PACK,0.9637148452762931,bil-bil
BIL_3996_PACK,BIL_3997_PACK,0.9606924034010176,bil-bil
BIL_3745_PACK,BIL_3750_PACK,0.9590015996149547,bil-bil
BIL_3744_PACK,BIL_3750_PACK,0.9402105849805978,bil-bil
BIL_3957_PACK,BIL_3996_PACK,0.9376298208881,bil-bil
BIL_3744_PACK,BIL_3749_PACK,0.936256194186735,bil-bil
BIL_4045_PACK,BIL_4047_PACK,0.9282375701184384,bil-bil
BIL_4044_PACK,BIL_4045_PACK,0.9270511018662618,bil-bil
BIL_4044_PACK,BIL_4047_PACK,0.924815960429764,bil-bil
BIL_3957_PACK,BIL_3997_PACK,0.9238338543282333,bil-bil
BIL_4045_PACK,BIL_4046_PACK,0.9236545536822969,bil-bil
BIL_4046_PACK,BIL_4047_PACK,0.9225486189322728,bil-bil
BIL_4044_PACK,BIL_4046_PACK,0.9206244088689901,bil-bil
BIL_3770_PACK,BIL_3774_PACK,0.9129083354262566,bil-bil
BIL_3955_PACK,BIL_3956_PACK,0.9057773183842823,bil-bil
BIL_3749_PACK,BIL_3933_PACK,-0.89723457228031,bil-bil
BIL_3749_PACK,BIL_3934_PACK,-0.8971813230928866,bil-bil
BIL_3782_PACK,BIL_3801_PACK,0.8965468667038419,bil-bil
