n_occurrences,n_columns,pattern
94,1,BIL_3803_PACK
78,1,BIL_3940_PACK
58,1,BIL_4102_PACK
55,2,BIL_SUBSCRIBER_STATUS_ORIG_Active;BIL_SUBSCRIBER_STATUS_ORIG_Block_2_Way
53,1,BIL_3762_PACK
32,1,BIL_3952_PACK
18,1,BIL_3751_PACK
13,2,BIL_SUBSCRIBER_STATUS_ORIG_Active;BIL_SUBSCRIBER_STATUS_ORIG_Block_1_Way
13,2,BIL_SUBSCRIBER_STATUS_ORIG_Block_1_Way;BIL_SUBSCRIBER_STATUS_ORIG_Block_2_Way
9,2,BIL_SUBSCRIBER_STATUS_ORIG_Barring;BIL_SUBSCRIBER_STATUS_ORIG_Suspend
9,1,BIL_3804_PACK
6,2,BIL_3952_PACK;BIL_4102_PACK
5,1,BIL_3785_PACK
5,1,BIL_3997_PACK
5,5,BIL_3744_PACK;BIL_3745_PACK;BIL_3748_PACK;BIL_3749_PACK;BIL_3750_PACK
4,2,BIL_3940_PACK;BIL_3941_PACK
3,1,BIL_4146_PACK
3,1,BIL_3829_PACK
3,1,BIL_3740_PACK
3,1,BIL_4106_PACK
3,1,BIL_4171_PACK
3,1,BIL_3929_PACK
3,1,BIL_4012_PACK
3,1,BIL_3778_PACK
3,2,BIL_3737_PACK;BIL_3803_PACK
