bil_column,varies_in_share_of_repeated_configs,prevalence
BIL_3803_PACK,0.01033295,0.00360645
BIL_3940_PACK,0.00834986,0.00450273
BIL_SUBSCRIBER_STATUS_ORIG_Active,0.00772362,0.68719924
BIL_SUBSCRIBER_STATUS_ORIG_Block_2_Way,0.00688863,0.05764983
BIL_4102_PACK,0.00678426,0.03040941
BIL_3762_PACK,0.00553178,0.34433051
BIL_3952_PACK,0.00375744,0.01873113
BIL_SUBSCRIBER_STATUS_ORIG_Block_1_Way,0.00281808,0.11093031
BIL_3751_PACK,0.00198309,0.10080985
BIL_SUBSCRIBER_STATUS_ORIG_Suspend,0.00146123,0.03820382
BIL_SUBSCRIBER_STATUS_ORIG_Barring,0.00114811,0.1068864
BIL_3804_PACK,0.00104373,0.00594317
BIL_3737_PACK,0.00093936,0.27848615
BIL_3750_PACK,0.00083499,0.42279212
BIL_3748_PACK,0.00083499,0.72754239
BIL_3749_PACK,0.00073061,0.42820179
BIL_3744_PACK,0.00073061,0.40175094
BIL_3745_PACK,0.00073061,0.41711569
BIL_4012_PACK,0.00062624,0.01190235
BIL_3997_PACK,0.00062624,0.04455245
BIL_3929_PACK,0.00052187,0.28100426
BIL_3740_PACK,0.00052187,0.14532495
BIL_3785_PACK,0.00052187,0.01641574
BIL_3941_PACK,0.00041749,0.00313164
BIL_4106_PACK,0.00041749,0.00891476
BIL_4169_PACK,0.00041749,0.00126973
BIL_4197_PACK,0.00041749,0.00124305
BIL_4081_PACK,0.00041749,0.00269417
BIL_4023_PACK,0.00041749,0.00196861
BIL_4171_PACK,0.00041749,0.00749032
BIL_3786_PACK,0.00041749,0.00751166
BIL_4334_PACK,0.00041749,0.00108834
BIL_4294_PACK,0.00041749,0.00116303
BIL_4281_PACK,0.00041749,0.00106166
BIL_4237_PACK,0.00041749,0.00125906
BIL_3829_PACK,0.00041749,0.0028062
BIL_4350_PACK,0.00031312,0.0011737
BIL_4464_PACK,0.00031312,0.00103499
BIL_4108_PACK,0.00031312,0.00345173
BIL_3938_PACK,0.00031312,0.00207531
BIL_3778_PACK,0.00031312,0.008616
BIL_4139_PACK,0.00031312,0.00173387
BIL_4353_PACK,0.00031312,0.0011737
BIL_4305_PACK,0.00031312,0.0011897
BIL_4258_PACK,0.00031312,0.00107233
BIL_4213_PACK,0.00031312,0.00125372
BIL_4146_PACK,0.00031312,0.00109367
BIL_4092_PACK,0.00031312,0.00115236
BIL_4007_PACK,0.00031312,0.00125372
BIL_3945_PACK,0.00031312,0.00147246
BIL_3765_PACK,0.00031312,0.04580083
BIL_3770_PACK,0.00031312,0.01720532
BIL_3912_PACK,0.00031312,0.00174454
BIL_3812_PACK,0.00031312,0.00147246
BIL_3780_PACK,0.00031312,0.00156315
BIL_3918_PACK,0.00031312,0.00123772
BIL_3998_PACK,0.00031312,0.02004887
BIL_3815_PACK,0.00031312,0.00624193
BIL_4004_PACK,0.00031312,0.01844304
BIL_4036_PACK,0.00031312,0.12622038
BIL_3926_PACK,0.00031312,0.05078371
BIL_3841_PACK,0.00031312,0.00534032
BIL_3752_PACK,0.00031312,0.01436178
BIL_3932_PACK,0.00031312,0.01323076
BIL_3746_PACK,0.00031312,0.24055441
BIL_3739_PACK,0.00031312,0.27822473
BIL_4419_PACK,0.00020875,0.00116303
BIL_3742_PACK,0.00020875,0.24766061
BIL_4432_PACK,0.00020875,0.00118437
BIL_4449_PACK,0.00020875,0.00117903
BIL_3933_PACK,0.00020875,0.52089713
BIL_4406_PACK,0.00020875,0.00127506
BIL_4181_PACK,0.00020875,0.00212866
BIL_4178_PACK,0.00020875,0.00140844
BIL_3879_PACK,0.00020875,0.0012804
BIL_3878_PACK,0.00020875,0.00120037
BIL_3875_PACK,0.00020875,0.00130707
BIL_3867_PACK,0.00020875,0.00131241
BIL_4166_PACK,0.00020875,0.00211265
BIL_4155_PACK,0.00020875,0.00213933
BIL_3892_PACK,0.00020875,0.00121104
BIL_3886_PACK,0.00020875,0.00125372
BIL_4141_PACK,0.00020875,0.00166451
BIL_4137_PACK,0.00020875,0.0014031
BIL_3902_PACK,0.00020875,0.00119504
BIL_3901_PACK,0.00020875,0.00129107
BIL_3964_PACK,0.00020875,0.10552064
BIL_3960_PACK,0.00020875,0.07629027
BIL_3958_PACK,0.00020875,0.01159825
BIL_3950_PACK,0.00020875,0.01198237
BIL_3936_PACK,0.00020875,0.00305161
BIL_4123_PACK,0.00020875,0.00143511
BIL_4122_PACK,0.00020875,0.00256079
BIL_4120_PACK,0.00020875,0.00144045
BIL_4117_PACK,0.00020875,0.00271551
BIL_4085_PACK,0.00020875,0.00135509
